Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Status,Components,Fix Version
Epic,2.0.x Pre-Flight Fixes + Scoring Pipeline,"Gate: must be 100% complete before 2.1.x begins. Group 6 failures, UX requirements, scoring pipeline fixes, SKILL.md tuning, dev housekeeping.",Highest,testing-gate,2.0.x Pre-Flight Fixes + Scoring Pipeline,,In Progress,options-terminal;evaluation-ui;scoring-engine;ai-evaluation;auth-infra,2.0.x
Story,Group 6 Test Failures,Three FAIL items from manual testing gate.,Highest,bug;testing-gate,,2.0.x Pre-Flight Fixes + Scoring Pipeline,In Progress,ui-shell;evaluation-ui,2.0.x
Task,"Toast notification after Follow (Paper) — top-right, auto-dismiss 4s, View Positions link","Buttons exist but no toast fires. Build shared Toast component, wire to Follow action. Items #20/21.",High,bug;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,ui-shell,2.0.x
Task,Buttons on Security Strategies page must not span full page width,All buttons span full page. Fix to width:auto per button standards. Item #22.,High,bug;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,evaluation-ui,2.0.x
Task,MSAL fix — stale localStorage tokens cause silent SSO failure,Login loop resolved. Verified working.,High,bug,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,auth-infra,2.0.x
Story,UX Requirements from Group 6 Testing,New requirements captured during Group 6 manual testing.,High,requirement,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal;ui-shell,2.0.x
Task,"Score standardization: all scores 0-100, formatted ##.00 everywhere","Inline row scores, expansion panel contributions, total row. Item #25.",High,requirement,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,options-terminal;evaluation-ui;scoring-engine,2.0.x
Task,Last Analyzed date format → mm-dd-yyyy hh:mm,Item #32. QuoteBar and all pages.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,Date format mm-dd-yyyy enforced globally,Item #33. Add as standing rule in CLAUDE.md. Audit all date displays.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal;ui-shell;dashboard-ui;positions-ui,2.0.x
Task,Empty symbol box placeholder: Enter a symbol to analyze [page name],"Item #26. Verticals, Puts/Calls, future screens.",Low,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,TYPE column sortable (all columns sortable),Item #27. TYPE was the only non-sortable column.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,"Chart default: today-90, session-persistent on user selection","Item #29. Once user picks a new start date, persist for the session.",Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Task,Theta Decay display: dollar / percentage format with configurable threshold,Item #34. Show % when at or below threshold (default 10%); dollar-only above. Calc: (theta/day / total premium) x 100.,Medium,requirement;claude-code,,2.0.x Pre-Flight Fixes + Scoring Pipeline,To Do,options-terminal,2.0.x
Story,Scoring Pipeline Fixes (Validation Assessment March 17),CRITICAL and HIGH severity findings from validation assessment. All items complete.,Highest,pipeline-fix;testing-gate,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,0-DTE hard filter: DTE <= 7 auto-PASS; DTE 8-13 apply 20pt penalty,CRITICAL. Implemented in evaluation_routes.py. Verified.,Highest,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,Credit % of width: display field + hard gate at 30%,CRITICAL. Hard auto-PASS gate implemented.,Highest,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,Debit % of width: display field + hard gate at 40%,Auto-PASS gate implemented.,High,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,"Cushion scoring penalty: <1% = -20pts, <2% = -10pts",Deterministic penalty applied post-scoring. ATR cross-ref deferred to backtest-variable.,High,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
Task,"Score band enforcement: >=70 EXECUTE, 50-69 WAIT, <50 PASS",Implemented in evaluation_routes.py. Single source of truth for verdict assignment.,High,pipeline-fix,,2.0.x Pre-Flight Fixes + Scoring Pipeline,Done,scoring-engine,2.0.x
