Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Status,Components,Fix Version,Story Points
Epic,Institutional Intelligence Brief — Research-to-Trade Pipeline,"Build an end-to-end pipeline that collects institutional activity data, analyzes options chains, generates structured research briefs with visual scorecards, and feeds recommended strategies to the Options Analyzer for scoring. Supports one-time and scheduled weekly re-prompts with historical tracking, cost estimation, and active/archived report management.",Highest,requirement;framework-portable;options-domain,Institutional Intelligence Brief — Research-to-Trade Pipeline,,Idea,ai-evaluation;data-providers;scoring-engine;dashboard-ui,3.x.x,
Feature,Data Collection Layer (Stage 1),"Build a configurable data collection prompt/module that gathers institutional activity data for a given ticker. Data sources defined in configuration file. Initial public sources: 13F filings, insider SEC Form 4, options flow sentiment, dark pool prints, volume anomalies, sector ETF flow, analyst consensus, catalyst calendar. Output is standardized JSON data package feeding Stage 3.",High,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers;ai-evaluation,3.x.x,8
Subtask,Define data source configuration schema,"Create JSON/YAML config listing each data source, type (public/paid), API or search method, output fields. Extensible — new source = new entry, not code change. Fields: source_name, source_type (web_search, api, manual), endpoint_or_query_template, output_fields, refresh_frequency, enabled (boolean).",Medium,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,3
Subtask,Build 13F institutional ownership data retrieval,"Implement 13F filing collection: top holders, recent position changes, notable hedge fund accumulation/distribution. Source: SEC EDGAR, financial aggregators. Output: top 10 holders with share counts, % changes QoQ, conviction indicators.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,5
Subtask,Build insider trading activity retrieval,"Implement SEC Form 4 collection: purchases, sales, option exercises. Calculate 90-day net insider activity, identify repeat sellers/buyers, flag 10b5-1 plan vs discretionary. Output: insider activity summary with signal classification.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,5
Subtask,Build options flow sentiment retrieval,"Collect put/call OI ratios, unusual options activity (volume spikes vs OI), large block trades. Identify short-dated tactical vs longer-dated conviction flow. Output: options sentiment summary with signal classification.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,5
Subtask,Build volume anomaly and sector context retrieval,"Collect daily volume vs average ratios, sector ETF flows (XLK, XLE, etc.), relative performance vs sector benchmark. Flag dates with >50% above-average volume. Output: volume profile and sector context summary.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,3
Subtask,Build catalyst calendar retrieval,"Collect upcoming earnings dates, regulatory/legal milestones, product launches, ex-dividend dates. Output: chronological catalyst list with impact classification (high/medium/low) and days until event.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,3
Subtask,Implement multi-LLM orchestration for data collection,"Route data collection tasks to most capable model via Azure Foundry. GPT-4 via Copilot for dark pool prints, volume stats, ETF flow numbers. Claude for synthesis, thesis construction, strategy mapping. Orchestration layer configurable per data source.",High,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,ai-evaluation;data-providers,3.x.x,8
Feature,Options Chain Pull (Stage 2),"Wire existing Schwab API options chain into the pipeline. Auto-retrieve full chain for ticker: all expirations, strikes, bid/ask, volume, OI, IV, Greeks. Leverages existing Options Analyzer infrastructure — primarily wiring/integration.",High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers;scoring-engine,3.x.x,5
